%2A.aln.sam	%2A	sebastes_spp
CF120717-01-01_S1_L001_R1_001.fastq.gz.aln.sam	CF120717-01-01_S1_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-03_S2_L001_R1_001.fastq.gz.aln.sam	CF120717-01-03_S2_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-05_S3_L001_R1_001.fastq.gz.aln.sam	CF120717-01-05_S3_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-07_S4_L001_R1_001.fastq.gz.aln.sam	CF120717-01-07_S4_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-09_S5_L001_R1_001.fastq.gz.aln.sam	CF120717-01-09_S5_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-11_S6_L001_R1_001.fastq.gz.aln.sam	CF120717-01-11_S6_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-13_S7_L001_R1_001.fastq.gz.aln.sam	CF120717-01-13_S7_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-15_S8_L001_R1_001.fastq.gz.aln.sam	CF120717-01-15_S8_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-17_S9_L001_R1_001.fastq.gz.aln.sam	CF120717-01-17_S9_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-19_S10_L001_R1_001.fastq.gz.aln.sam	CF120717-01-19_S10_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-21_S11_L001_R1_001.fastq.gz.aln.sam	CF120717-01-21_S11_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-23_S12_L001_R1_001.fastq.gz.aln.sam	CF120717-01-23_S12_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-25_S13_L001_R1_001.fastq.gz.aln.sam	CF120717-01-25_S13_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-26_S14_L001_R1_001.fastq.gz.aln.sam	CF120717-01-26_S14_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-28_S15_L001_R1_001.fastq.gz.aln.sam	CF120717-01-28_S15_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-30_S16_L001_R1_001.fastq.gz.aln.sam	CF120717-01-30_S16_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-32_S17_L001_R1_001.fastq.gz.aln.sam	CF120717-01-32_S17_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-34_S18_L001_R1_001.fastq.gz.aln.sam	CF120717-01-34_S18_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-36_S19_L001_R1_001.fastq.gz.aln.sam	CF120717-01-36_S19_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-38_S20_L001_R1_001.fastq.gz.aln.sam	CF120717-01-38_S20_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-40_S21_L001_R1_001.fastq.gz.aln.sam	CF120717-01-40_S21_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-42_S22_L001_R1_001.fastq.gz.aln.sam	CF120717-01-42_S22_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-44_S23_L001_R1_001.fastq.gz.aln.sam	CF120717-01-44_S23_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-46_S24_L001_R1_001.fastq.gz.aln.sam	CF120717-01-46_S24_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-48_S25_L001_R1_001.fastq.gz.aln.sam	CF120717-01-48_S25_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-50_S26_L001_R1_001.fastq.gz.aln.sam	CF120717-01-50_S26_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-52_S27_L001_R1_001.fastq.gz.aln.sam	CF120717-01-52_S27_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-54_S28_L001_R1_001.fastq.gz.aln.sam	CF120717-01-54_S28_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-56_S29_L001_R1_001.fastq.gz.aln.sam	CF120717-01-56_S29_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-58_S30_L001_R1_001.fastq.gz.aln.sam	CF120717-01-58_S30_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-60_S31_L001_R1_001.fastq.gz.aln.sam	CF120717-01-60_S31_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-62_S73_L001_R1_001.fastq.gz.aln.sam	CF120717-01-62_S73_L001_R1_001.fastq.gz	sebastes_spp
CF120717-01-64_S32_L001_R1_001.fastq.gz.aln.sam	CF120717-01-64_S32_L001_R1_001.fastq.gz	sebastes_spp
CF130717-03-01_S38_L001_R1_001.fastq.gz.aln.sam	CF130717-03-01_S38_L001_R1_001.fastq.gz	sebastes_spp
CF130717-03-04_S39_L001_R1_001.fastq.gz.aln.sam	CF130717-03-04_S39_L001_R1_001.fastq.gz	sebastes_spp
CF130717-03-09_S40_L001_R1_001.fastq.gz.aln.sam	CF130717-03-09_S40_L001_R1_001.fastq.gz	sebastes_spp
CF130717-03-11_S41_L001_R1_001.fastq.gz.aln.sam	CF130717-03-11_S41_L001_R1_001.fastq.gz	sebastes_spp
CF130814-01-01_S44_L001_R1_001.fastq.gz.aln.sam	CF130814-01-01_S44_L001_R1_001.fastq.gz	sebastes_spp
CF130814-02-01_S45_L001_R1_001.fastq.gz.aln.sam	CF130814-02-01_S45_L001_R1_001.fastq.gz	sebastes_spp
CF130814-02-04_S46_L001_R1_001.fastq.gz.aln.sam	CF130814-02-04_S46_L001_R1_001.fastq.gz	sebastes_spp
CF130814-03-02_S47_L001_R1_001.fastq.gz.aln.sam	CF130814-03-02_S47_L001_R1_001.fastq.gz	sebastes_spp
CF130814-04-01_S48_L001_R1_001.fastq.gz.aln.sam	CF130814-04-01_S48_L001_R1_001.fastq.gz	sebastes_spp
CF130827-01-04_S59_L001_R1_001.fastq.gz.aln.sam	CF130827-01-04_S59_L001_R1_001.fastq.gz	sebastes_spp
CF130827-01-06_S60_L001_R1_001.fastq.gz.aln.sam	CF130827-01-06_S60_L001_R1_001.fastq.gz	sebastes_spp
CF130827-03-05_S61_L001_R1_001.fastq.gz.aln.sam	CF130827-03-05_S61_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-03_S77_L001_R1_001.fastq.gz.aln.sam	CF150713-01-03_S77_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-05_S78_L001_R1_001.fastq.gz.aln.sam	CF150713-01-05_S78_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-07_S79_L001_R1_001.fastq.gz.aln.sam	CF150713-01-07_S79_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-08_S80_L001_R1_001.fastq.gz.aln.sam	CF150713-01-08_S80_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-11_S81_L001_R1_001.fastq.gz.aln.sam	CF150713-01-11_S81_L001_R1_001.fastq.gz	sebastes_spp
CF150713-02-04_S82_L001_R1_001.fastq.gz.aln.sam	CF150713-02-04_S82_L001_R1_001.fastq.gz	sebastes_spp
CF150713-02-06_S83_L001_R1_001.fastq.gz.aln.sam	CF150713-02-06_S83_L001_R1_001.fastq.gz	sebastes_spp
CF150713-02-08_S84_L001_R1_001.fastq.gz.aln.sam	CF150713-02-08_S84_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-02_S85_L001_R1_001.fastq.gz.aln.sam	CF150713-03-02_S85_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-04_S86_L001_R1_001.fastq.gz.aln.sam	CF150713-03-04_S86_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-06_S87_L001_R1_001.fastq.gz.aln.sam	CF150713-03-06_S87_L001_R1_001.fastq.gz	sebastes_spp
